اشکبار	'aSkbAr
کاهشی	kAheSi
بومادران	bumAdarAn
شاخ	SAx
کوچک‌‌جثه	kuCakjosse
مواجهه	movAjehe
مخاطی	moxAti
تبیینی	tabyini
مورمور	murmur
صورتگر	suratgar
بمان	bemAn
زرده	zarde
ساسها	sAshA
نسیان	nesyAn
فتوسل	fotosel
نجاشی	najjASi
سرنیزه	sarneyze
ظاهربین	zAherbin
میتوکندری	mitokondri
خصایص	xasAyes
عروقی	'oruqi
پرتنوع	portanavvo'
چینی‌تبار	CinitabAr
ذوب	zowb
ترسا	tarsA
خلال	xalAl
اجازه	'ejAze
گردنگاه	gardangAh
در‌مجموع	darmajmu'
انگلیس	'engelis
بکاررفته	bekArrafte
فی‌المجلس	felmajles
نامتداول	nAmotedAvel
فوقانی	fowqAni
یقین	yaqin
ثابت‌قدم	sAbetqadam
ملیونر	milyuner
پی‌درپی	peydarpey
لاله‌زار	lAlezAr
نتائج	natA'ej
مکشوف	makSuf
صالحیان	sAlehiyAn
پیژامه	piZAme
غد	qod
قماربازی	qomArbAzi
شیبان	SibAn
دخو	daxow
تواضع	tavAzo'
مشتاقی	moStAqi
لایه‌برداری	lAyebardAri
بارم	bArem
میانبند	miyAnband
باطل	bAtel
قیمت‌گذاری	qeymatgozAri
نعناداغ	na'nAdAq
قدبلند	qadboland
تورنسل	turnosol
تایر	tAyer
ملیله‌دوزی	malileduzi
بنی‌سعد	banisa'd
میکروفیلم	mikrofilm
روحانی‌نما	rowhAninamA
دلخراش	delxarAS
پشکل	peSkel
نیمساز	nimsAz
بهارک	bahArak
راحت	rAhat
بدذاتی	badzAti
قلند	qaland
نامعهود	nAma'hud
اتاقه	'otAge
املت	'omlet
محبس	mahbas
سالاری	sAlAri
دمن	daman
چهارشاخ	CAhArSAx
زعم	za'm
تاخت	tAxt
غرغره	qerqere
خاشاک	xASAk
کاشکی	kASki
مطربی	motrebi
ارایه	'erAye
مطاع	motA'
رانه	rAne
پاسخ‌دهی	pAsoxdehi
تفتیده	taftide
همسرا	hamsorA
راکد	rAked
ریزعلی	riz'ali
سه‌‌بعدی	sebo'di
پیمانه	peymAne
خودتنظیم	xodtanzim
خفیف	xafif
کینه‌جوئی	kineju'i
اهورامزدا	'ahurAmazdA
طبل	tabl
اسباب	'asbAb
صباغ‌‌زاده	sabbAqzAde
شوکا	SukA
بکندی	bekondi
زنگی	zangi
یزدان‌شناس	yazdAnSenAs
پوشش‌دهنده	puSeSdahande
لسان	lesAn
امپریالیزم	'amperyAlizm
نرگسیان	nargesiyAn
عبدالمالک	'abdolmAlek
نصح	nash
مرزوق	marzuq
کریمی	karimi
دیگپایه	digpAye
بختانه	baxtAne
رشدکننده	roSdkonande
بلغا	bolqA
میسیونر	misiyoner
ساده	sAde
عزیززاده	'azizzAde
بالفطره	belfetre
فرحزاد	farahzAd
پذیرفته‌شده	pazirofteSode
کاندید	kAndid
استغاثه	'esteqAse
سانترالیسم	sAntrAlism
ارگانیزم	'orgAnizm
پروازکنان	parvAzkonAn
تصفیه‌خانه	tasfiyexAne
مرور	morur
همه‌جاگیر	hamejAgir
جوشان	juSAn
مهرورزانه	mehrvarzAne
صلی‌‌الله	sallallAh
تعالی‌جویانه	ta'AlijuyAne
با‌آن‌که	bA'Anke
ویکونیا	vikuni'A
اناجیل	'anAjil
آغل	'Aqol
امپراتریس	'emperAteris
ایزو	'izo
عافیت‌‌جو	'Afiyatju
اداء	'adA
ارغوانی‌رنگ	'arqavAnirang
استرآبادی	'estarAbAdi
اویماق	'oymAq
صغر	seqar
تیپا	tipA
فوجی	fowji
محاسبه	mohAsebe
گلگونه	golgune
کپه	koppe
لوله‌بر	lulebor
آب‌ریزی	'Abrizi
گیجی	giji
فریدون	fereydun
سیانور	siyAnur
سل	sel
مدرن	modern
برنامه‌ریزی	barnAmerizi
پرنیرنگ	porneyrang
بجای‌مانده	bejAymAnde
داتسون	dAtson
کمونیست	komonist
مشخص‌شده	moSaxxasSode
پاکسان	pAksAn
مترور	metror
مقرر‌شده	moqarrarSode
یارو	yAru
هوشی	huSi
غریبگی	qaribegi
آبچر	'AbCar
موقوفه	mowqufe
بازتابی	bAztAbi
تلمبه‌خانه	tolombexAne
مصطفایی	mostafAyi
آیینه‌دار	'AyinedAr
یاس	yAs
کوپه	kupe
بادغیس	bAdqeys
فرا‌‌گرفته	farAgerefte
قباله	qabAle
عیسی	'isA
هدر	hadar
کوکو	kuku
محو	mahv
مال‌باخته	mAlbAxte
موعظت	mow'ezat
اسرار	'asrAr
مفتول	maftul
اسپانیول	'espAnyol
کاهش	kAheS
بی‌ثباتی	bisobAti
کراهت	kerAhat
خاراند	xArAnd
شهادت‌‌طلبانه	SahAdattalabAne
تقسیم	taqsim
حمله	hamle
سود‌آور	sudAvar
ترمودینامیکی	termodinAmiki
یک‌موتوره	yekmotore
آل‌ثانی	'AlesAni
گنجان	gonjAn
کسرا	kasrA
غمگینانه	qamginAne
منزه	monazzah
ناوش	nAveS
کارواش	kArvAS
زیگوراتی	zigurAti
بهرامی	bahrAmi
هیدراسیون	hidrAsiyon
خوبیت	xubiyyat
روان‌پریش	ravAnpariS
زایشگاه	zAyeSgAh
نابکاری	nAbekAri
اطاعت	'etA'at
آغا‌محمد	'AqAmohammad
رها	rahA
کریستفر	keristofer
کوچ‌‌نشینی	kuCneSini
پوزخند	puzxand
پیامد	peyAmad
جنجال‌برانگیز	janjAlbarangiz
بالقوه	belqovve
ناهمواری	nAhamvAri
بهل	behel
تشکر	taSakkor
ظواهری	zavAheri
چشیده	CeSide
لاضرر	lAzarar
اذینه	'ozine
کریستو	keristo
خروس	xorus
بروشور	buruSur
تارخ	tArox
ساعد	sA'ed
چاقوساز	CAqusAz
عمق	'omq
حشمت	heSmat
نافرمان	nAfarmAn
لب‌تشنه	labteSne
پاچه	pACe
رقعی	roq'i
اپتیمم	'optimom
سفها	sofahA
کافکا	kAfkA
پررونق	porrownaq
جمع‌آوری	jam'Avari
باقر	bAqer
وانیل	vAnil
شمشیربازی	SamSirbAzi
تحتاتی	thatAni
کولن	kulon
تق	taqq
نیاوران	niyAvarAn
قپه	qoppe
ثامن	sAmen
پایاپای	pAyApAy
عمامه‌ای	'ammAme'i
عایق‌‌کاری	'AyeqkAri
سیکلمه	siklame
خرازی	xarrAzi
اتیلین	'etilin
گرگان‌رود	gorgAnrud
خانوم	xAnum
دینامیسم	dinAmism
کاترین	kAtrin
بهمن‌ماه	bahmanmAh
توابع	tavAbe'
استالونه	'estAlone
غل	qol
رزا	rozA
سهل‌العلاج	sahlol'alAj
قرص	qors
بسختی	besaxti
ظریف‌‌کاری	zarifkAri
خراج	xarAj
احمدعلی	'ahmad'ali
حال‌و‌روز	hAloruz
محمد‌امین	mohammadamin
غیرمتداول	qeyremotedAvel
جوری	juri
تثلیث	taslis
اشنار	'oSnAr
کابل‌کشی	kAblkeSi
پس‌از	pasaz
مخصوصه	maxsuse
پذیرائی	pazirA'i
اسپریز	'aspriz
رشیدپور	raSidpur
بساط	basAt
اماج	'omAj
همنوع	hamnow'
سطری	satri
تمسخر	tamasxor
جانت	jAnet
تخمدان	toxmdAn
پرسشنامه	porseSnAme
برقراری	barqarAri
پوراستاد	purostAd
تلمبه‌ای	tolombe'i
ماهیات	mAhiyyAt
شرر	Sarar
ناخشنودی	nAxoSnudi
بریده‌بریده	borideboride
هرقل	herqol
شنو	Senav
خلجان	xalajAn
اسعدی	'as'adi
ماستریخت	mAstrixt
پولکا	polkA
بی‌تکیه	bitekye
نوژه	noZe
سفیدک	sefidak
بهداری	behdAri
خجل	xejel
تازه‌داماد	tAzedAmAd
مرحمت	marhamat
واژه‌پردازی	vAZepardAzi
آبونه	'Abune
فلاح‌‌پور	fallAhpur
کائوچو	kA'uCu
اهل‌‌سنت	'ahlesonnat
رسولی	rasuli
گزارشگر	gozAreSgar
باسک	bAsk
آبخیز	'Abxiz
تزلزل‌ناپذیر	tazalzolnApazir
سهمیه‌بندی	sahmiyyebandi
فیلی	fili
شیخاوندی	SeyxAvandi
فاقه	fAqe
درخشانی	deraxSAni
وظیفه‌شناس	vazifeSenAs
تثنیه	tasniye
آفاقی	'AfAqi
سگزی	sagzi
میکروفون	mikrofon
خوش‌آهنگ	xoSAhang
ابو‌جعفر	'abuja'far
چناری	CenAri
بین‌قاره‌ای	beyneqArre'i
از‌حیث	'azheyse
اختیار	'extiyAr
رقابت	reqAbat
جزام	jozAm
عماره	'ammAre
چه‌قدر	Ceqadr
بگوش	beguS
ماجرایی	mAjarAyi
معلم	mo'allem
خلافکاری	xalAfkAri
انزال	'enzAl
گل‌آقا	golAqA
رامبراند	rAmberAnd
حشفه	haSafe
گان	gAn
واژه‌سازی	vAZesAzi
تحصیلدار	tahsildAr
بکوب	bekub
آگلوتینین	'Aglotinin
رنجبران	ranjbarAn
لالا	lAlA
ضد‌‌بالستیک	seddebAlestik
پسان‌فردا	pasAnfardA
ساییده	sAyide
مسمایی	mosammAyi
پکتین	pektin
مروری	moruri
شوراند	SurAnd
فخرآور	faxrAvar
علیجان	'alijAn
بالاراسته	bAlArAste
آلیاژ	'AlyAZ
ارواح	'arvAh
فئودالی	fe'odAli
مناسبت	monAsebat
ترجیع	tarji'
پنجاب	panjAb
اره‌ماهی	'arremAhi
گیوه	give
ماوراءالطبیعه	mAvarA'ottabi'e
وحشیت	vahSiyyat
ترموسفر	termosfer
ابر‌کامپیوتر	'abarkAmpiyoter
مشک	maSk
کبوتربازی	kabutarbAzi
بامحبت	bAmohabbat
برزگری	barzegari
عشرت‌‌طلب	'eSrattalab
التقا	'elteqA
اخطاری	'extAri
قابل‌‌اطمینان	qAbele'etminAn
چسبناک	CasbnAk
تحویلدار	tahvildAr
الهام‌دهنده	'elhAmdahande
غیرتمندی	qeyratmandi
در‌اطراف	daratrAfe
معیل	mo'il
پرآتش	por'AtaS
ایمه	'ayemme
غیر	qeyr
تصریح	tasrih
اشانتیون	'eSAntiyon
سازگاری	sAzgAri
بدهکاری	bedehkAri
چیزخور	Cizxor
عقیق	'aqiq
خشتمالی	xeStmAli
رآکتور	re'Aktor
متوهم	motevahhem
چندسلولی	Candselluli
دروازه‌بانی	darvAzebAni
هدایا	hadAyA
جاکلیدی	jAkilidi
خودساخته	xodsAxte
پارسایی	pArsAyi
امکان‌پذیری	'emkAnpaziri
حاجی‌آباد	hAji'AbAd
چهل‌تن	Ceheltan
افروخته	'afruxte
اعوجاج	'e'vejAj
امجد	'amjad
وصی	vasi
استقرائی	'esteqrA'i
دوال‌پا	davAlpA
غایت	qAyat
پیاده‌روی	piyAderavi
کات	kAt
کاراکاس	kArAkAs
شیخیه	Seyxiyye
میاندوره	miyAndowre
بانکدار	bAnkdAr
رائول	rA'ol
احمد	'ahmad
منزوی	monzavi
سرانجام	saranjAm
پاک‌نهاد	pAknahAd
برداشتی	bardASti
برنامه‌پذیری	barnAmepaziri
ول‌کن	velkon
اغفال	'eqfAl
رهگیری	rahgiri
ثبت‌کننده	sabtkonande
عنبری	'ambari
چهارسیلندر	CAhArsiland
اجمل	'ajmal
انکسار	'enkesAr
کرامات	kerAmAt
سیاستگر	siyAsatgar
سوغات	sowqAt
تجمل‌گرا	tajammolgerA
بطیء	bati'
خیریه	xeyriyye
واجی	vAji
نوظهور	nowzohur
مادیات	mAddiyyAt
فاراد	fArAd
لنگید	langid
شخار	SaxAr
جلوه‌گر	jelvegar
کماندوئی	komAndow'i
خودکاری	xodkAri
صورت‌‌ساز	suratsAz
سیکل	sikl
قشقایی	qaSqAyi
افاغنه	'afAqane
ابوالفتح‌خان	'abolfathxAn
پرطنین	portanin
قلوه‌کن	qolvekan
جدال‌برانگیز	jedAlbarangiz
صفارزاده	saffArzAde
همکاسه	hamkAse
پرتردد	portaraddod
یکتاپرستی	yektAparasti
اربعه	'arba'e
اسپکتروسکپ	'espektroskop
جنت‌مکان	jannatmakAn
الوندی	'alvandi
گنه	gonah
خرافاتی	xorAfAti
بنی‌هاشم	banihASem
تانکر	tAnker
کندر	kondor
خنثاسازی	xonsAsAzi
شوینده	Suyande
ژیپس	Zips
آهار	'AhAr
تخمبر	toxmbar
سوسپانسیون	suspAnsiyon
ترومپت	torompet
هاشم‌آباد	hASemAbAd
پکنی	pekani
گنجه	ganje
منزجر‌کننده	monzajerkonande
زودخشم	zudxaSm
یادگاری	yAdegAri
وریسم	verism
راجع	rAje'
اتمسفر	'atmosfer
ارجان	'arjAn
امدادیان	'emdAdiyAn
آکسفورد	'Aksford
استبدادی	'estebdAdi
بیوتکنیک	biyoteknik
آمیزش	'AmizeS
دلگشائی	delgoSA'i
کهن‌‌سالی	kohansAli
کنگ	kang
تف‌دیده	tafdide
مهراب	mehrAb
گردوغبار	gardoqobAr
بندرت	benodrat
آتشین‌مزاج	'AtaSinmezAj
مزیت	maziyyat
کارمزد	kArmozd
وایت‌بورد	vAytbord
حیوان	heyvAn
اعشاری	'a'SAri
جهت‌دار	jahatdAr
غیرفارسی	qeyrefArsi
نادر	nAder
غفاریان	qaffAriyAn
فواید	favAyed
قوام‌‌الدوله	qavAmoddowle
پاپوش	pApuS
ابدا	'abadA
بی‌خبری	bixabari
بی‌خواب	bixAb
صلحبان	solhbAn
خوش‌یمنی	xoSyomni
گردش	gardeS
پورحسینی	purhoseyni
استخلاص	'estexlAs
موذی	muzi
عفونی	'ofuni
f	'ef
نایین	nAyin
فردی	fardi
آنیمیسم	'Animism
تیرماه	tirmAh
جگرخون	jegarxun
سی	si
روتوش	rutuS
سومالیائی	sumAliyA'i
کمانه	kamAne
نیاورده	nayAvarde
کاربردی	kArbordi
به‌راستی	berAsti
نرده‌ای	narde'i
بدحجاب	badhejAb
آبخیزداری	'AbxizdAri
لطف	lotf
توتم	totem
ناشکری	nASokri
انگ	'ang
توده	tude
نقشه‌بردار	naqSebardAr
جبروت	jabarut
تراکتورسازی	terAktorsAzi
خودبخود	xodbexod
رایگان	rAyegAn
عرب	'arab
انعقادی	'en'eqAdi
بهر‌ه‌گیری	bahregiri
قشلاقی	qeSlAqi
صادقیه	sAdeqiyye
خبیث	xabis
لپه	lappe
سفاهت	sefAhat
رعیت	ra'yat
پنجاه	panjAh
خمیری	xamiri
رد	radd
استراتژی	'esterAteZi
رکن	rokn
پولادیان	pulAdiyAn
استقرار‌یافته	'esteqrAryAfte
سکان‌داری	sokkAndAri
وزش	vazeS
فورمول	formul
براده	borAde
مجاهده	mojAhede
کرک	karak
پیکان‌شهر	peykAnSahr
دست‌ساز	dastsAz
گل‌وگیاه	gologiyAh
شبه	Sabah
مستعلی	mosta'elli
پندآموز	pandAmuz
شبکه‌‌دار	SabakedAr
نشست	neSast
غول‌آسا	qulAsA
فانوس	fAnus
شوریدگی	Suridegi
قره‌‌باغی	qarebAqi
آب‌منگل	'Abmangol
عاقبت‌بخیر	'Aqebatbexeyr
جغله	jeqele
قصیر	qasir
مشکل‌آفرین	moSkelAfarin
حق‌پرستی	haqparasti
شاد	SAd
آغاز‌کننده	'AqAzkonande
حلاوت	halAvat
تکلم	takallom
منفعت‌طلبی	manfa'attalabi
بجول	bojul
هتاک	hattAk
ملاحاجی	mollAhAji
توف	tuf
جهت‌مندی	jahatmandi
کم‌فروش	kamfuruS
چمخاله	CamxAle
لار	lAr
مصادره‌ای	mosAdere'i
فریبندگی	faribandegi
مدحی	madhi
چغازنبیل	CoqAzanbil
چالدران	CAlderAn
برگشتی	bargaSti
اروگوئه‌ای	'orogu'e'i
لرنژاد	lorneZAd
علیهم‌‌السلام	'aleyhomossalAm
بریانک	beryAnak
تصمیم‌سازی	tasmimsAzi
اهالی	'ahAli
انگیزید	'angizid
امر	'amr
ایاب‌وذهاب	'ayAbozahAb
ربوبیت	robubiyyat
سنگ‌شناسی	sangSenAsi
آدم‌برفی	'Adambarfi
لش‌بازی	laSbAzi
ملیسا	melisA
وشق	vaSaq
ملخ	malax
چرخشت	CarxeSt
خردورزانه	xeradvarzAne
یهودی‌سازی	yahudisAzi
النصر	'annasr
تحولی	tahavvoli
استخوان‌سازی	'ostexAnsAzi
شاه‌‌توت	SAhtut
رودسری	rudsari
شرپا	SerpA
بدبوم	badbum
شیوایی	SivAyi
موعود	mow'ud
نامفهومی	nAmafhumi
تارک	tArak
ژرمنی	Zermani
دستیاری	dastyAri
دیدوبازدید	didobAzdid
اندی	'andi
عصاکش	'aAkeS
غشا	qeSA
استنشاقی	'estenSAqi
فاش	fAS
لنگه‌به‌لنگه	lengebelenge
شیله‌پیله	Silepile
حمیده	hamide
بی‌غش	biqaS
سندیکالیسم	sandikAlism
گشاد	goSAd
دلتا	deltA
اجداد	'ajdAd
همت‌آباد	hemmatAbAd
عدالتی	'edAlati
دیمیتری	dimitri
مبلغ	mablaq
امور	'omur
پابرجایی	pAbarjAyi
خط‌کشی	xatkeSi
لطیفه	latife
قمی	qomi
مرتفع	mortafa'
طاغوت	tAqut
مراقبه	morAqebe
رقاصک	raqqAsak
هیچ‌چیز	hiCCiz
جواهری	javAheri
پرتوان	portavAn
تعمیرگاه	ta'mirgAh
آتشباری	'AtaSbAri
جاودانی	jAvdAni
روضه	rowze
آتشک	'AtaSak
کهنه‌کار	kohnekAr
پستیش	postiS
نیک‌نفسی	niknafasi
نمک‌نشناسی	namaknaSnAsi
قلمی	qalami
هراسان	harAsAn
مصاحبه‌گر	mosAhebegar
تناسخ	tanAsox
جلایری	jalAyeri
قبله‌‌نما	qeblenamA
همچین	hamCin
ندوشن	naduSan
مثله	mosle
گنادی	gonAdi
مبرد	mobarred
غم‌‌بار	qambAr
تورم	tavarrom
کادو	kAdo
خمسه	xamse
عقلائی	'oqalA'i
نیچه	niCe
پوست‌اندازی	pustandAzi
دویده	davide
تومور	tumor
کمبوجیه	kambujiye
بدآموزی	badAmuzi
عظیم	'azim
ضدکودتا	zeddekudetA
نژاد	neZAd
نکوداشت	nekudASt
خام	xAm
چمدانی	CamedAni
نقطه‌نظر	noqtenazar
اکنون	'aknun
سیراب	sirAb
بدقدم	badqadam
ساماندهی	sAmAndehi
کردستانی	kordestAni
اندود	'andud
بر‌نشسته	barneSaste
گل‌گاوزبان	golgAvzabAn
جنب‌و‌جوش	jonbojuS
متقاعد	moteqA'ed
بدرستی	bedorosti
آیزنه	'Ayezne
کم‌‌بها	kambahA
جابه‌جائی	jAbejA'i
ملبس	molabbas
وطن	vatan
مردک	mardak
مازندرانی	mAzandarAni
مصاحبه‌شونده	mosAhebeSavande
مهدی‌زاده	mehdizAde
رده‌بندی	radebandi
وشا	vaSA
دگرگون	degargun
امعاء	'am'A
معدن‌شناس	ma'danSenAs
دیسکت	disket
جوینده	juyande
سوسیال‌‌دموکراسی	sosiyAldemokrAsi
خیانتکارانه	xiyAnatkArAne
بدکارگی	badkAregi
اجناس	'ajnAs
هایل	hAyel
زیر‌برنامه‌	zirbrnAme
علامت	'alAmat
لرز	larz
مخروطی	maxruti
آشوب‌طلب	'ASubtalab
سند	sanad
نظام	nezAm
ده‌دقیقه‌ای	dahdaqiqe'i
گورستان	gurestAn
معذوریت	ma'zuriyyat
فسیتوال	festivAl
باتیستوتا	bAtistutA
مشرف‌الدین	moSrefeddin
صلبیه	solbiyye
آندرسون	'Anderson
قصبه	qasabe
شعیری	Sa'iri
جلبک	jolbak
قمشه‌ای	qomSe'i
آله	'Ale
بی‌واهمه	bivAheme
زادبومی	zAdbumi
خوش‌خلقی	xoSxolqi
غیرجنسی	qeyrejensi
زمان‌سنج	zamAnsanj
رسیده	reside
بطالت	betAlat
پخش	paxS
مسیحایی	masihAyi
پارسائی	pArsA'i
مینی	mini
هذیانی	hazyAni
قضاوتی	qezAvati
محمره	mohammere
بدشانسی	badSAnsi
هشت‌سالگی	haStsAlegi
نورالانوار	nurol'anvAr
جهات	jahAt
راهگرد	rAhgard
نظار	nozzAr
پرهیجان	porhayejAn
متصرفه	motesarrefe
دربستی	darbasti
برتابید	bartAbid
مارکس	mArks
بزم‌آرا	bazmArA
هرمنوتیک	hermonotik
وجد‌آور	vajdAvar
ساردین‌ماهیان	sArdinmAhiyAn
جون	jun
حاکمی	hAkemi
قهوه‌‌خانه‌‌ای	qahvexAne'i
لکه	lakke
رهروان	rahrovAn
بجد	bejed
دشتستانی	daStestAni
اختلافی	'extelAfi
نامعمول	nAma'mul
سوییسی	suyisi
پرتلاطم	portalAtom
غیرارادی	qeyre'erAdi
جمهور	jomhur
خداشهر	xodASahr
جاگزینی	jAgozini
نیلسون	nilson
چکامه	CakAme
سارق	sAreq
عبدالنقی	'abdonnaqi
سیخونک	sixunak
منظر	manzar
پروتکل	porotokol
خودسر	xodsar
خیابان‌بندی	xiyAbAnbandi
دامدار	dAmdAr
شیربان	SirbAn
هزاری	hezAri
واسع	vAse'
صیقل‌‌خورده	seyqalxorde
میعان	maya'An
پس‌فرداشب	pasfardASab
ناعلاج	nA'alAj
کادانس	kAdAns
وارونگی	vArunegi
کج‌سلیقگی	kajsaliqegi
نویسی	nevisi
ددمنشی	dadmaneSi
طبیعی	tabi'i
ساتراپ	sAtrAp
نامعقول	nAma'qul
اندوه‌زده	'anduhzade
اقدامی	'eqdAmi
محرابی	mehrAbi
وقف	vaqf
نقشه‌کش	naqSekeS
تحذیر	tahzir
متکلم	motekallem
پایین‌دست	pAyindast
تنفسی	tanaffosi
فرمانروا	farmAnravA
احاطه	'ehAte
مطایبه‌نامه	motyebenAme
قدومه	qoddume
عزلت	'ozlat
نمایش	namAyeS
مشاغل	maSAqel
مشیب	maSib
خداداد	xodAdAd
ملانین	melAnin
مفروق‌منه	mafruqonmenh
تنزیه	tanzih
بس‌خواران	basxArAn
استنباط	'estenbAt
شمعی	Sam'i
کورکورانه	kurkurAne
ساطع	sAte'
ضیائی	ziyA'i
تکفین	takfin
داروخانه	dAruxAne
فرشید	farSid
جیبوتی	jibuti
نائین	nA'in
پایتخت‌نشین	pAytaxtneSin
لحیم‌کاری	lahimkAri
ابریشم‌باف	'abriSambAf
پلو	polow
نومیدکننده	nowmidkonande
خرت‌و‌پرت	xertopert
صریح	sarih
نوتردام	noterdAm
نوچه	nowCe
بین‌دولتی	beynedowlati
اجرا	'ejrA
چهارمیخ	CAhArmix
پیچ	piC
چترک	Catrak
چارمیخه	CArmixe
بدبویی	badbuyi
تضییق	tazyiq
دکوئیار	dekoyu'Ar
پردود	pordud
ظهیرالدین	zahireddin
کلارا	kelArA
هانس	hAns
سور	sor
متعادل	mote'Adel
مصادر	mosAder
درمانگاهی	darmAngAhi
پاستور	pAstor
پیچش	piCeS
صابر	sAber
توکسین	toksin
ملازمه	molAzeme
شنید	Senid
لول	lul
اسرائیل	'esrA'il
کینین	kinin
اصلاح‌شده	'eslAhSode
تاریخی	tArixi
غشایی	qeSAyi
اختلاف‌برانگیز	'extelAfbarangiz
سیصد	sisad
خرکچی	xarakCi
ماورا	mAvarA
راء	rA'
سست‌نهاد	sostnahAd
نامطبوع	nAmatbu'
تندروان	tondrovAn
جلوس	jolus
چندکاره	CandkAre
گلاره	gelAre
دارالتربیه	dArottarbiye
آفت‌کش	'AfatkoS
حکمروایی	hokmravAyi
سواستفاده	su'estefAde
ممکن	momken
خروسک	xurusak
درزگیری	darzgiri
محن	mehan
اجاق	'ojAq
سرپیچیده	sarpiCide
پارسانژاد	pArsAneZAd
بی‌بالان	bibAlAn
خراباتی	xarAbAti
کارفرمائی	kArfarmA'i
عشقه	'aSaqqe
درامد	darAmad
میانه‌روی	miyAneravi
موروث	mowres
مقوله	maqule
فاروق	fAruq
میلانی	milAni
مبتلابه	mobtalAbeh
سیرالئون	siyerAle'own
احتباس	'ehtebAs
متعجب	mote'ajjeb
اخترشناسی	'axtarSenAsi
گچساران	gaCsArAn
زن‌پدر	zanpedar
رئیسه	ra'ise
پریسکوپ	periskop
مادرانه	mAdarAne
فسقلی	fesqeli
شوهرداری	SowhardAri
ایلول	'ilul
معجون	ma'jun
هرمزگان	hormozgAn
واثقی	vAseqi
ناموسی	nAmusi
سلول	sellul
حشمتی	heSmati
جریب	jarib
